ClusterNumber,Longitude,Latitude,ClusterSize
0,-37.8080334774,144.956397673,13
1,-37.814709718,144.941136836,22
2,-37.8200248646,144.959880676,37
3,-37.8198281315,144.972617444,36
4,-37.7875147096,144.95537217,5
5,-37.813819685,144.966255947,33
6,-37.7952140599,144.940086596,4
7,-37.8195114201,144.94750943,40
8,-37.7934172085,144.924122975,2
9,-37.8128138773,144.978091693,29
10,-37.7814392802,144.962858749,7
11,-37.8036528773,144.969254443,14
12,-37.8056957854,144.907291042,1
13,-37.8264138654,144.972994754,18
